Stock,executive_summary,plan2_interpretation,fundamental_picture,quarterly_picture,price_move_explanation,volume_liquidity,sector_impact,global_impact,government_policy_impact,rbi_impact,sebi_impact,positive_factors,negative_factors,consider,do_not_assume,watch_next,risk_flags,evidence_confidence
AUBANK,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
KIRLOSENG,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
NUVAMA,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
LUPIN,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
PNBHOUSING,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
TITAN,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
KARURVYSYA,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
IIFL,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
CUB,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
EMCURE,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
CEMPRO,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
ABCAPITAL,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
RADICO,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
SCI,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
