Stock,Source Type,Publisher,Date,Title,URL
HINDALCO,News discovery,Mining Technology,2026-08-11T12:56:46Z,Hindustan Copper plans supply of Chilean copper to Hindalco and Adani,https://www.mining-technology.com/news/hindustan-copper-plans-supply-of-chilean-copper/
HINDALCO,News discovery,Reuters,2026-08-10T08:30:37Z,"India's Hindustan Copper plans to sell copper concentrate sourced from Chile to Hindalco, Adani, sources say",https://sg.finance.yahoo.com/news/indias-hindustan-copper-plans-sell-083037866.html
HINDALCO,News discovery,GuruFocus.com,2026-08-07T19:00:30Z,Hindalco Industries Ltd (FRA:HID) (Q1 2027) Earnings Call Highlights: Record EBITDA and ...,https://finance.yahoo.com/markets/stocks/articles/hindalco-industries-ltd-fra-hid-190030678.html
HINDALCO,News discovery,Reuters,2026-08-07T11:03:07Z,India's Hindalco posts profit surge as metal prices strengthen,https://sg.finance.yahoo.com/news/indias-hindalco-posts-profit-jumps-091416774.html
HINDALCO,News discovery,Mining Technology,2026-07-24T14:00:53Z,Enervoxa eyes rare earth processing project in India,https://www.mining-technology.com/news/enervoxa-rare-earth-processing-project-india/
HINDALCO,News discovery,Reuters,2026-07-24T07:53:33Z,"Canada's Enervoxa plans India rare earths project, may tie up with Vedanta, NALCO",https://sg.finance.yahoo.com/news/canadas-enervoxa-plans-india-rare-075333294.html
HINDALCO,News discovery,Reuters,2026-07-11T11:27:46Z,India's Aditya Birla proposes $1.26 billion expansion of Odisha alumina refinery,https://sg.finance.yahoo.com/news/indias-aditya-birla-proposes-1-112746161.html
HINDALCO,News discovery,GuruFocus.com,2026-05-26T01:03:25Z,Hindalco Industries Ltd (FRA:HID) Q4 2026 Earnings Call Highlights: Strong EBITDA Growth Amid ...,https://finance.yahoo.com/markets/stocks/articles/hindalco-industries-ltd-fra-hid-010325951.html
POWERINDIA,News discovery,Simply Wall St.,2026-09-17T23:20:54Z,3 Renewable Energy Stocks To Watch If Grid Infrastructure Spending Keeps Rising,https://finance.yahoo.com/energy/articles/3-renewable-energy-stocks-watch-232054605.html
POWERINDIA,News discovery,GuruFocus.com,2026-08-07T19:00:50Z,Hitachi Energy India Ltd (BOM:543187) (Q1 2027) Earnings Call Highlights: Record Backlog and ...,https://finance.yahoo.com/markets/stocks/articles/hitachi-energy-india-ltd-bom-190050334.html
POWERINDIA,News discovery,Reuters,2026-06-01T03:29:51Z,Hitachi Energy India eyes bigger slice of data centre boom with 'grid-to-rack' push,https://sg.finance.yahoo.com/news/hitachi-energy-india-eyes-bigger-114134671.html
POWERINDIA,News discovery,GuruFocus.com,2026-05-28T03:01:43Z,Hitachi Energy India Ltd (BOM:543187) Q4 2026 Earnings Call Highlights: Record Revenue Growth ...,https://finance.yahoo.com/markets/stocks/articles/hitachi-energy-india-ltd-bom-030143003.html
POWERINDIA,News discovery,GuruFocus.com,2026-02-05T19:02:11Z,Hitachi Energy India Ltd (BOM:543187) Q3 2026 Earnings Call Highlights: Strong Order Growth and ...,https://finance.yahoo.com/news/hitachi-energy-india-ltd-bom-190211567.html
POWERINDIA,News discovery,GuruFocus.com,2025-11-13T01:04:58Z,Hitachi Energy India Ltd (BOM:543187) Q2 2026 Earnings Call Highlights: Record Profit Growth ...,https://finance.yahoo.com/news/hitachi-energy-india-ltd-bom-010458926.html
ACUTAAS,News discovery,GuruFocus.com,2026-07-28T01:02:37Z,Acutaas Chemicals Ltd (BOM:543349) Q1 2027 Earnings Call Highlights: Robust Growth and ...,https://finance.yahoo.com/markets/stocks/articles/acutaas-chemicals-ltd-bom-543349-010237353.html
BHEL,News discovery,GuruFocus.com,2026-08-12T17:09:09Z,thyssenkrupp nucera AG & Co (THYKF) (Q3 2026) Earnings Call Highlights: Strategic Pivot to ...,https://finance.yahoo.com/markets/stocks/articles/thyssenkrupp-nucera-ag-co-thykf-170909860.html
BHEL,News discovery,Reuters,2026-03-30T03:42:17Z,India relaxes rules for some state-run firms to procure critical equipment from China,https://sg.finance.yahoo.com/news/india-relaxes-rules-state-run-162320588.html
BHEL,News discovery,GuruFocus.com,2026-02-21T01:01:55Z,GE Power India Ltd (BOM:532309) Q3 2026 Earnings Call Highlights: Strong Profit Growth Amid ...,https://finance.yahoo.com/news/ge-power-india-ltd-bom-010155486.html
BHEL,News discovery,GuruFocus.com,2026-02-18T01:02:46Z,Synergy Green Industries Ltd (BOM:541929) Q3 2026 Earnings Call Highlights: Expansion Plans and ...,https://finance.yahoo.com/news/synergy-green-industries-ltd-bom-010246386.html
BHEL,News discovery,Power Technology,2026-02-10T08:57:07Z,Adani secures Japanese funding for India’s green energy corridor,https://www.power-technology.com/news/adani-japanese-funding-green-energy/
BHEL,News discovery,Reuters,2026-01-29T10:01:43Z,India's Adani Power reports quarterly profit fall as demand eases,https://sg.finance.yahoo.com/news/indias-adani-power-reports-quarterly-100143317.html
BHEL,News discovery,Reuters,2026-01-19T08:02:58Z,India's BHEL third-quarter revenue rises 16% on sustained power products demand,https://sg.finance.yahoo.com/news/indias-bhel-third-quarter-revenue-080258279.html
SHRIRAMFIN,News discovery,Reuters,2026-08-12T16:37:26Z,BofA to take 49.9% stake in Jio Credit for $1.9 billion in India push,https://sg.finance.yahoo.com/news/bofa-invest-1-9-billion-154850725.html
SHRIRAMFIN,News discovery,GuruFocus.com,2026-07-24T21:02:52Z,Shriram Finance Ltd (BOM:511218) Q1 2027 Earnings Call Highlights: Robust Profit Growth and ...,https://finance.yahoo.com/markets/stocks/articles/shriram-finance-ltd-bom-511218-210252485.html
SHRIRAMFIN,News discovery,Reuters,2026-07-24T14:10:00Z,India's Shriram Finance expects lower borrowing costs after profit surge,https://sg.finance.yahoo.com/news/indias-shriram-finance-posts-strong-091526978.html
SHRIRAMFIN,News discovery,MarketBeat,2026-05-18T15:05:39Z,Mitsubishi UFJ Financial Group Q4 Earnings Call Highlights,https://www.marketbeat.com/instant-alerts/mitsubishi-ufj-financial-group-q4-earnings-call-highlights-2026-05-18/?utm_source=yahoofinance&utm_medium=yahoofinance
SHRIRAMFIN,News discovery,GuruFocus.com,2026-04-25T07:03:56Z,Shriram Finance Ltd (BOM:511218) Q4 2026 Earnings Call Highlights: Robust Profit Growth and ...,https://finance.yahoo.com/markets/stocks/articles/shriram-finance-ltd-bom-511218-070356537.html
SHRIRAMFIN,News discovery,Reuters,2026-04-24T10:43:18Z,"India's Shriram Finance beats profit forecasts, crosses 3 trillion rupees in AUM",https://sg.finance.yahoo.com/news/indias-shriram-finance-beats-quarterly-094332912.html
SHRIRAMFIN,News discovery,Retail Banker International,2026-04-22T11:58:36Z,MUFG lending head signals further Asia dealmaking,https://www.retailbankerinternational.com/news/mufg-lending-head-signals-further-asia-dealmaking/
SHRIRAMFIN,News discovery,Reuters,2026-02-03T04:32:07Z,Advent to buy 14.3% of Indian mortgage lender Aditya Birla Housing Finance for $304 million,https://sg.finance.yahoo.com/news/advent-buy-14-3-indian-043207222.html
LAURUSLABS,News discovery,Simply Wall St.,2026-09-18T17:14:48Z,3 India Pharma Exporter Stocks Facing Fresh US Tariff Pressure,https://finance.yahoo.com/healthcare/articles/3-india-pharma-exporter-stocks-171448779.html
LAURUSLABS,News discovery,Simply Wall St.,2026-08-16T00:16:06Z,Laurus Labs (NSEI:LAURUSLABS) Stock Fair Value Rises After Analysts Lift Growth Expectations,https://finance.yahoo.com/markets/stocks/articles/laurus-labs-nsei-lauruslabs-stock-001606941.html
LAURUSLABS,News discovery,Reuters,2026-08-13T03:00:04Z,"Four Indian stocks to be added, three removed from key global index in MSCI's August rejig",https://sg.finance.yahoo.com/news/four-indian-stocks-added-three-030004466.html
LAURUSLABS,News discovery,GuruFocus.com,2026-07-24T19:01:09Z,Laurus Labs Ltd (BOM:540222) Q1 2027 Earnings Call Highlights: Robust Revenue Growth and ...,https://finance.yahoo.com/healthcare/articles/laurus-labs-ltd-bom-540222-190109228.html
LAURUSLABS,News discovery,Simply Wall St.,2026-06-04T12:11:36Z,How The Laurus Labs (NSEI:LAURUSLABS) Investment Story Is Evolving With A Steady Price Target,https://finance.yahoo.com/markets/stocks/articles/laurus-labs-nsei-lauruslabs-investment-121136812.html
LAURUSLABS,News discovery,Simply Wall St.,2026-02-04T13:23:36Z,What Recent Developments Signal For The Laurus Labs NSEI LAURUSLABS Investment Story,https://finance.yahoo.com/news/recent-developments-signal-laurus-labs-132336123.html
LAURUSLABS,News discovery,GuruFocus.com,2026-01-23T19:01:32Z,Laurus Labs Ltd (BOM:540222) Q3 2026 Earnings Call Highlights: Strong Revenue Growth and ...,https://finance.yahoo.com/news/laurus-labs-ltd-bom-540222-190132423.html
LAURUSLABS,News discovery,Simply Wall St.,2026-01-21T05:23:12Z,Reframing The Story For Laurus Labs (NSEI:LAURUSLABS) After The New Fair Value Reset,https://finance.yahoo.com/news/reframing-story-laurus-labs-nsei-052312662.html
TORNTPHARM,News discovery,GuruFocus.com,2026-07-30T19:02:44Z,Torrent Pharmaceuticals Ltd (BOM:500420) (Q1 2027) Earnings Call Highlights: Record Revenue ...,https://finance.yahoo.com/healthcare/articles/torrent-pharmaceuticals-ltd-bom-500420-190244086.html
TORNTPHARM,News discovery,GuruFocus.com,2026-05-22T21:00:29Z,Torrent Pharmaceuticals Ltd (BOM:500420) Q4 2026 Earnings Call Highlights: Robust Revenue ...,https://finance.yahoo.com/sectors/healthcare/articles/torrent-pharmaceuticals-ltd-bom-500420-210029063.html
TORNTPHARM,News discovery,Reuters,2026-05-22T12:05:56Z,Indian drugmaker Torrent Pharma posts lower quarterly profit on acquisition costs,https://sg.finance.yahoo.com/news/indian-drugmaker-torrent-pharma-posts-120556089.html
TORNTPHARM,News discovery,Simply Wall St.,2026-03-01T18:11:09Z,A Look At Xeris Biopharma Holdings (XERS) Valuation As It Fights To Protect Recorlev Exclusivity,https://finance.yahoo.com/news/look-xeris-biopharma-holdings-xers-181109994.html
TORNTPHARM,News discovery,GuruFocus.com,2026-02-13T19:01:43Z,Torrent Pharmaceuticals Ltd (BOM:500420) Q3 2026 Earnings Call Highlights: Robust Revenue ...,https://finance.yahoo.com/news/torrent-pharmaceuticals-ltd-bom-500420-190143498.html
TORNTPHARM,News discovery,Reuters,2026-01-08T04:33:47Z,"India's Torrent Pharma lines up mega $1.4 billion acquisition-funding bond sale, bankers say",https://sg.finance.yahoo.com/news/indias-torrent-pharma-lines-mega-043347252.html
TORNTPHARM,News discovery,GuruFocus.com,2025-11-10T05:01:06Z,Torrent Pharmaceuticals Ltd (BOM:500420) Q2 2026 Earnings Call Highlights: Strong Revenue ...,https://finance.yahoo.com/news/torrent-pharmaceuticals-ltd-bom-500420-050106039.html
TORNTPHARM,News discovery,Reuters,2025-10-23T10:15:29Z,"India's Torrent Pharma to proceed with $1.6 billion bond issue after regulatory nod, bankers say",https://sg.finance.yahoo.com/news/indias-torrent-pharma-proceed-1-101529752.html
INDUSINDBK,News discovery,Investing.com,2026-08-29T02:31:53Z,Indian bank stocks show widest exchange price gap in decades,https://finance.yahoo.com/markets/stocks/articles/indian-bank-stocks-show-widest-023153299.html
INDUSINDBK,News discovery,GuruFocus.com,2026-07-22T19:01:40Z,IndusInd Bank Ltd (BOM:532187) Q1 2027 Earnings Call Highlights: Strong Profit Growth Amid ...,https://finance.yahoo.com/markets/stocks/articles/indusind-bank-ltd-bom-532187-190140299.html
INDUSINDBK,News discovery,Reuters,2026-07-22T15:24:55Z,"India's IndusInd Bank profit jumps on lower provisions, tax refund",https://sg.finance.yahoo.com/news/indias-indusind-bank-posts-higher-105003317.html
INDUSINDBK,News discovery,Reuters,2026-07-06T10:16:21Z,Indian shares rise to 10-week high; HDFC Bank leads after strong Q1 growth,https://sg.finance.yahoo.com/news/indian-shares-likely-open-higher-022746814.html
INDUSINDBK,News discovery,Reuters,2026-06-03T09:49:00Z,India's IndusInd Bank slips on report of whistleblower complaint,https://sg.finance.yahoo.com/news/indias-indusind-bank-slips-report-053748781.html
INDUSINDBK,News discovery,GuruFocus.com,2026-04-25T07:02:32Z,IndusInd Bank Ltd (BOM:532187) Full Year 2026 Earnings Call Highlights: Strong Profit Growth ...,https://finance.yahoo.com/markets/stocks/articles/indusind-bank-ltd-bom-532187-070232250.html
INDUSINDBK,News discovery,Reuters,2026-04-24T12:19:11Z,India's IndusInd Bank beats profit view on fewer new bad loans,https://sg.finance.yahoo.com/news/indias-indusind-bank-beats-fourth-111017043.html
INDUSINDBK,News discovery,Reuters,2026-03-05T06:54:21Z,"India's IndusInd Bank treasury head set to exit, sources say",https://sg.finance.yahoo.com/news/indias-indusind-bank-treasury-head-065421048.html
BHARATFORG,News discovery,Reuters,2025-12-16T06:06:16Z,"Exclusive-Top Indian arms makers held rare meetings in Russia on potential joint ventures, sources say",https://sg.finance.yahoo.com/news/exclusive-top-indian-arms-makers-123431005.html
BHARATFORG,News discovery,GuruFocus.com,2025-11-11T17:01:25Z,Bharat Forge Ltd (BOM:500493) Q2 2026 Earnings Call Highlights: Navigating Challenges with ...,https://finance.yahoo.com/news/bharat-forge-ltd-bom-500493-170125361.html
ATHERENERG,News discovery,Bloomberg,2026-09-01T06:51:16Z,Ather Energy’s 130% Stock Surge Leaves Tesla and BYD Behind in 2026,https://finance.yahoo.com/markets/stocks/articles/ather-energy-130-stock-surge-065116645.html
ATHERENERG,News discovery,Reuters,2026-08-27T15:26:46Z,India's Hero MotoCorp to invest additional $184 million in Ather Energy,https://sg.finance.yahoo.com/news/indias-hero-motocorp-invest-additional-152646751.html
ATHERENERG,News discovery,GuruFocus.com,2026-08-06T01:01:35Z,Ather Energy Ltd (NSE:ATHERENERG) (Q1 2027) Earnings Call Highlights: First-Ever Positive ...,https://finance.yahoo.com/markets/stocks/articles/ather-energy-ltd-nse-atherenerg-010135719.html
ATHERENERG,News discovery,TechCrunch,2026-08-05T11:26:00Z,"Indian EV startup River raises $120M Series C to scale production, launch more models",https://finance.yahoo.com/technology/articles/indian-ev-startup-river-raises-112600641.html
ATHERENERG,News discovery,Reuters,2026-08-03T10:44:26Z,"India's Ather Energy posts narrower quarterly loss, aided by firm scooter demand",https://sg.finance.yahoo.com/news/indias-ather-energy-posts-narrower-094921115.html
ATHERENERG,News discovery,Reuters,2026-07-15T10:24:57Z,"India's Ather Energy to raise $125 million via share issue, warrants",https://sg.finance.yahoo.com/news/indias-ather-energy-raise-125-102457261.html
ATHERENERG,News discovery,Reuters,2026-07-14T15:07:51Z,India's Hero MotoCorp to invest about $104 million in Ather Energy,https://sg.finance.yahoo.com/news/indias-hero-motocorp-invest-104-144812921.html
ATHERENERG,News discovery,Reuters,2026-05-04T06:55:45Z,India's Ather Energy narrows quarterly loss as Rizta e-scooter drives sales growth,https://sg.finance.yahoo.com/news/ather-energy-posts-narrower-quarterly-055431160.html
ABB,News discovery,GuruFocus.com,2025-11-12T01:04:10Z,ABB India Ltd (BOM:500002) Q3 2025 Earnings Call Highlights: Strong Revenue Growth Amid Market ...,https://finance.yahoo.com/news/abb-india-ltd-bom-500002-010410478.html
ABB,News discovery,Reuters,2025-11-06T12:25:06Z,Engineering firm ABB India's profit falls as orders dip,https://sg.finance.yahoo.com/news/engineering-firm-abb-indias-profit-122506577.html
CUMMINSIND,News discovery,Reuters,2026-02-04T15:40:58Z,Cummins India's quarterly profit rises on lower expenses,https://sg.finance.yahoo.com/news/cummins-indias-quarterly-profit-rises-154058913.html
CUMMINSIND,News discovery,GuruFocus.com,2025-11-12T01:02:23Z,Cummins India Ltd (BOM:500480) Q2 2026 Earnings Call Highlights: Robust Sales Growth Amidst ...,https://finance.yahoo.com/news/cummins-india-ltd-bom-500480-010223556.html
HSCL,News discovery,GuruFocus.com,2026-07-16T19:00:38Z,Himadri Speciality Chemical Ltd (BOM:500184) Q1 2027 Earnings Call Highlights: Strong Revenue ...,https://finance.yahoo.com/markets/stocks/articles/himadri-speciality-chemical-ltd-bom-190038809.html
HSCL,News discovery,Simply Wall St.,2026-06-01T09:12:06Z,How The Investment Story For Himadri Speciality Chemical (BSE:500184) Is Evolving Without New Analyst Signals,https://finance.yahoo.com/markets/stocks/articles/investment-story-himadri-speciality-chemical-091206406.html
HSCL,News discovery,Simply Wall St.,2026-05-12T04:33:12Z,How The Investment Story Is Shifting For Himadri Speciality Chemical (BSE:500184),https://finance.yahoo.com/markets/stocks/articles/investment-story-shifting-himadri-speciality-043312636.html
HSCL,News discovery,GuruFocus.com,2026-04-28T13:00:46Z,Himadri Speciality Chemical Ltd (BOM:500184) Q4 2026 Earnings Call Highlights: Strong Financial ...,https://finance.yahoo.com/markets/stocks/articles/himadri-speciality-chemical-ltd-bom-130046791.html
HSCL,News discovery,Simply Wall St.,2026-04-27T23:08:32Z,How The Himadri Speciality Chemical (BSE:500184) Narrative Is Evolving With AI Supply Chain Hopes,https://finance.yahoo.com/markets/stocks/articles/himadri-speciality-chemical-bse-500184-230832993.html
HSCL,News discovery,Simply Wall St.,2026-04-11T23:08:07Z,How The Himadri Speciality Chemical (BSE:500184) Story Is Evolving With A Steady ₹470 Target,https://finance.yahoo.com/markets/stocks/articles/himadri-speciality-chemical-bse-500184-230807170.html
HSCL,News discovery,Simply Wall St.,2026-03-13T19:11:23Z,How The Himadri Speciality Chemical (BSE:500184) Narrative Is Evolving With An Unchanged ₹470 Target,https://finance.yahoo.com/news/himadri-speciality-chemical-bse-500184-191123451.html
HSCL,News discovery,Simply Wall St.,2026-02-27T13:12:05Z,How The Himadri Speciality Chemical (BSE:500184) Narrative Is Shifting Around A Steady ₹470 Target,https://finance.yahoo.com/news/himadri-speciality-chemical-bse-500184-131205751.html
ADANIENSOL,News discovery,Energy Global,2026-08-26T15:00:00Z,AESL wins transmission project in Maharashtra,https://www.energyglobal.com/other-renewables/26082026/aesl-wins-transmission-project-in-maharashtra/?yptr=yahoo
ADANIENSOL,News discovery,Power Technology,2026-08-26T14:49:28Z,"Adani secures $492m transmission project in Maharashtra, India",https://www.power-technology.com/news/adani-492m-transmission-project-maharashtra-india/
ADANIENSOL,News discovery,Reuters,2026-08-26T03:39:46Z,Adani Energy Solutions wins $493 million transmission project in Maharashtra,https://sg.finance.yahoo.com/news/adani-energy-solutions-wins-493-033946103.html
ADANIENSOL,News discovery,Reuters,2026-08-13T03:00:04Z,"Four Indian stocks to be added, three removed from key global index in MSCI's August rejig",https://sg.finance.yahoo.com/news/four-indian-stocks-added-three-030004466.html
ADANIENSOL,News discovery,Reuters,2026-07-31T03:56:37Z,"India's Adani Energy plans another share sale by early next fiscal, sources say",https://sg.finance.yahoo.com/news/indias-adani-energy-plans-another-035637124.html
ADANIENSOL,News discovery,Power Technology,2026-07-27T09:38:26Z,Adani secures $881m Andhra Pradesh transmission project,https://www.power-technology.com/news/adani-881m-andhra-pradesh-transmission/
ADANIENSOL,News discovery,Reuters,2026-07-24T09:28:46Z,India's Adani Energy gets $880.8 million Andhra Pradesh transmission project,https://sg.finance.yahoo.com/news/indias-adani-energy-gets-880-092846969.html
ADANIENSOL,News discovery,GuruFocus.com,2026-07-23T01:00:39Z,Adani Energy Solutions Ltd (BOM:539254) Q1 2027 Earnings Call Highlights: Strategic Growth in ...,https://finance.yahoo.com/energy/articles/adani-energy-solutions-ltd-bom-010039730.html
BANKINDIA,News discovery,GuruFocus.com,2026-07-28T01:02:51Z,Bank of India (BOM:532149) Q1 2027 Earnings Call Highlights: Strong Profit Growth Amidst ...,https://finance.yahoo.com/markets/stocks/articles/bank-india-bom-532149-q1-010251497.html
BANKINDIA,News discovery,Reuters,2026-07-27T03:16:08Z,"India's UltraTech Cement plans its biggest rupee debt funding, bankers say",https://sg.finance.yahoo.com/news/indias-ultratech-cement-plans-biggest-031608190.html
BANKINDIA,News discovery,Reuters,2026-06-10T06:25:13Z,"Rupee gains as RBI intervention, optimism over inflows blunt NDF drag",https://sg.finance.yahoo.com/news/rupee-likely-dip-weak-risk-025035277.html
BANKINDIA,News discovery,TheStreet,2026-05-18T18:53:08Z,Standard Chartered eyes major acquisition,https://www.thestreet.com/crypto/markets/standard-chartered-eyes-major-acquisition
BANKINDIA,News discovery,Reuters,2026-05-12T09:10:43Z,India's state-owned EXIM Bank plans $10.5 billion debt fundraise in fiscal 2027,https://sg.finance.yahoo.com/news/indias-state-owned-exim-bank-075402737.html
BANKINDIA,News discovery,Reuters,2026-04-08T12:11:02Z,India's central bank proposes to ease banks' capital adequacy needs,https://sg.finance.yahoo.com/news/indias-central-bank-proposes-ease-061621535.html
BANKINDIA,News discovery,Reuters,2026-03-23T12:01:10Z,"India forex reserves adequate to cushion against external shocks, cenbank report says",https://sg.finance.yahoo.com/news/india-forex-reserves-adequate-cushion-120110382.html
BANKINDIA,News discovery,Reuters,2026-02-14T16:27:03Z,Indian lender Manappuram gets RBI nod for Bain Capital to take joint control,https://sg.finance.yahoo.com/news/indian-lender-manappuram-gets-rbi-162703501.html
SUNPHARMA,News discovery,Zacks,2026-09-07T15:15:00Z,Here's How Trump's Drug Deals Are Likely to Impact Healthcare ETFs,https://finance.yahoo.com/healthcare/articles/heres-trumps-drug-deals-likely-151500696.html
SUNPHARMA,News discovery,Benzinga,2026-09-02T22:00:07Z,"Trump Expands Drug Pricing Deals With 9 Pharma Companies, Bringing Total to 26 — RFK Jr. Details 'Very, Very Emotional' Conversations With President",https://finance.yahoo.com/healthcare/articles/trump-expands-drug-pricing-deals-220007792.html
SUNPHARMA,News discovery,Zacks,2026-09-01T16:35:00Z,"Trump's MFN Push Goes Beyond Big Pharma, Adds 9 Mid-Sized Drugmakers",https://finance.yahoo.com/healthcare/articles/trumps-mfn-push-goes-beyond-163500680.html
SUNPHARMA,News discovery,BioPharma Dive,2026-09-01T12:14:00Z,Mid-cap biotechs join Trump’s latest round of drug pricing deals,https://www.biopharmadive.com/news/medicaid-low-price-model-drugmakers-white-house/829282/
SUNPHARMA,News discovery,Pharmaceutical Technology,2026-09-01T12:05:16Z,Trump lines up MFN deals with nine mid-size pharmas on drug pricing push,https://www.pharmaceutical-technology.com/news/trump-mfn-drug-pricing-deal-mid-sized-pharma/
SUNPHARMA,News discovery,Stocktwits,2026-08-31T22:43:59Z,$19.6B Infusion In US Plants With Lower Drug Prices: White House’s Deal With Mid-size Drugmakers,https://stocktwits.com/news-articles/markets/equity/19-6-b-infusion-in-us-plants-with-lower-drug-prices-white-house-s-deal-with-mid-size-drugmakers/cZYz7nNRJtG
SUNPHARMA,News discovery,Bloomberg,2026-08-31T19:34:21Z,Trump Strikes Medicaid Drug Price Deals With Nine Pharma Firms,https://finance.yahoo.com/healthcare/articles/trump-strikes-medicaid-drug-price-193421815.html
SUNPHARMA,News discovery,Reuters,2026-07-31T10:02:57Z,Sun Pharma's quarterly profit jumps on strength in specialty medicines,https://finance.yahoo.com/healthcare/articles/indias-sun-pharma-posts-higher-090749675.html
RRKABEL,News discovery,GuruFocus.com,2026-07-29T01:01:53Z,R R Kabel Ltd (BOM:543981) Q1 2027 Earnings Call Highlights: Record Revenue and Profit Surge ...,https://finance.yahoo.com/markets/stocks/articles/r-r-kabel-ltd-bom-010153183.html
RRKABEL,News discovery,GuruFocus.com,2026-05-01T19:00:47Z,R R Kabel Ltd (BOM:543981) Q4 2026 Earnings Call Highlights: Record Revenue and Strategic ...,https://finance.yahoo.com/markets/stocks/articles/r-r-kabel-ltd-bom-190047581.html
RRKABEL,News discovery,Reuters,2026-02-10T12:58:20Z,"Indian wire maker R R Kabel expects trade deal bump to volumes, executive says",https://sg.finance.yahoo.com/news/indian-wire-maker-r-r-125820860.html
RRKABEL,News discovery,GuruFocus.com,2026-02-04T01:02:54Z,R R Kabel Ltd (BOM:543981) Q3 2026 Earnings Call Highlights: Record Revenue and Profit Growth ...,https://finance.yahoo.com/news/r-r-kabel-ltd-bom-010254524.html
RRKABEL,News discovery,GuruFocus.com,2025-11-04T05:05:12Z,R R Kabel Ltd (BOM:543981) Q2 2026 Earnings Call Highlights: Robust Growth Amid Market Challenges,https://finance.yahoo.com/news/r-r-kabel-ltd-bom-050512577.html
RRKABEL,News discovery,Reuters,2025-11-03T11:15:24Z,India's R R Kabel maintains fiscal 2026 volume outlook as export shift pays off,https://sg.finance.yahoo.com/news/indias-r-r-kabel-maintains-111524672.html
